Date,GOOG,AMZN,CRM,APPL,NVDA
3/2/2015,569.78,385.66,68.46,32.27,5.65
3/3/2015,572.07,384.61,66.95,32.34,5.55
3/4/2015,571.8,382.72,64.88,32.14,5.61
3/5/2015,573.75,387.83,65.59,31.6,5.72
3/6/2015,566.13,380.09,64.56,31.65,5.64
3/9/2015,567.29,378.56,65.48,31.79,5.65
3/10/2015,553.49,369.51,63.76,31.13,5.75
3/11/2015,549.67,366.37,63.68,30.56,5.72
3/12/2015,553.99,374.24,64.95,31.11,5.67
3/13/2015,545.82,370.58,64.6,30.9,5.68
3/16/2015,552.99,373.35,66.43,31.24,5.74
3/17/2015,549.33,371.92,67.55,31.76,5.81
3/18/2015,557.97,375.14,68.55,32.12,5.72
3/19/2015,556.46,373.24,68.88,31.87,5.8
3/20/2015,558.83,378.49,67.69,31.48,5.87
3/23/2015,557.28,375.11,67.66,31.8,5.68
3/24/2015,568.63,374.09,67.37,31.67,5.6
3/25/2015,557.25,370.96,65.78,30.85,5.26
3/26/2015,553.65,367.35,65.99,31.06,5.24
3/27/2015,546.84,370.56,66.55,30.81,5.35
3/30/2015,550.52,374.59,66.85,31.59,5.37
3/31/2015,546.5,372.1,66.81,31.11,5.23
4/1/2015,541.07,370.26,66.08,31.06,5.25
4/2/2015,534.06,372.25,66.68,31.33,5.27
4/6/2015,535.29,377.04,67.94,31.84,5.42
4/7/2015,535.55,374.41,68.2,31.5,5.47
4/8/2015,540.13,381.2,68.21,31.4,5.51
4/9/2015,539.3,383.54,67.74,31.64,5.63
4/10/2015,538.53,382.65,67.64,31.78,5.69
4/13/2015,537.69,382.36,67.08,31.71,5.64
4/14/2015,528.94,385.11,66.91,31.58,5.59
4/15/2015,531.07,383.45,67.21,31.7,5.66
4/16/2015,532.34,386.04,67.91,31.54,5.62
4/17/2015,522.62,375.56,65.81,31.19,5.55
4/20/2015,533.91,389.51,66.9,31.9,5.52
4/21/2015,532.51,391.18,67.38,31.73,5.51
4/22/2015,537.89,389.8,67.71,32.16,5.58
4/23/2015,545.5,389.99,68.47,32.42,5.56
4/24/2015,563.51,445.1,67.83,32.57,5.51
4/27/2015,555.37,438.56,67.84,33.16,5.55
4/28/2015,553.68,429.31,66.89,32.64,5.58
4/29/2015,549.08,429.37,74.65,32.16,5.54
4/30/2015,537.34,421.78,72.82,31.29,5.55
5/1/2015,537.9,422.87,73.36,32.24,5.69
5/4/2015,540.78,423.04,71.6,32.17,5.65
5/5/2015,530.8,421.19,72.75,31.45,5.51
5/6/2015,524.22,419.1,73.79,31.25,5.53
5/7/2015,530.7,426.88,74.52,31.32,5.62
5/8/2015,538.22,433.69,72.4,31.91,5.21
5/11/2015,535.7,432.85,71.2,31.58,5.16
5/12/2015,529.04,431.02,71.77,31.47,5.21
5/13/2015,529.62,426.87,71.79,31.5,5.24
5/14/2015,538.4,432.28,72.88,32.24,5.32
5/15/2015,533.85,426,72.4,32.19,5.33
5/18/2015,532.3,425.24,72.8,32.55,5.32
5/19/2015,537.36,421.71,71.48,32.52,5.26
5/20/2015,539.27,423.86,70.16,32.52,5.26
5/21/2015,542.51,431.63,72.91,32.85,5.22
5/22/2015,540.11,427.63,75.01,33.14,5.22
5/26/2015,532.32,425.47,73.57,32.41,5.18
5/27/2015,539.79,431.42,73.95,33.01,5.46
5/28/2015,539.78,426.57,72.68,32.95,5.54
5/29/2015,532.11,429.23,72.75,32.57,5.53
6/1/2015,533.99,430.92,73.1,32.63,5.6
6/2/2015,539.18,430.99,72.9,32.49,5.48
6/3/2015,540.31,436.59,73.47,32.53,5.43
6/4/2015,536.7,430.78,72.21,32.34,5.52
6/5/2015,533.33,426.95,73.55,32.16,5.57
6/8/2015,526.83,423.5,71.84,31.95,5.44
6/9/2015,526.69,425.48,71.76,31.86,5.47
6/10/2015,536.69,430.77,73.03,32.22,5.37
6/11/2015,534.61,432.97,72.4,32.15,5.43
6/12/2015,532.33,429.92,71.77,31.79,5.28
6/15/2015,527.2,423.67,72.56,31.73,5.27
6/16/2015,528.15,427.26,73.4,31.9,5.33
6/17/2015,529.26,427.81,74.42,31.83,5.4
6/18/2015,536.73,439.39,75.71,31.97,5.49
6/19/2015,536.69,434.92,75,31.65,5.47
6/22/2015,538.19,436.29,74.78,31.9,5.44
6/23/2015,540.48,445.99,74.2,31.76,5.31
6/24/2015,537.84,440.84,73.5,32.03,5.25
6/25/2015,535.23,440.1,73.61,31.88,5.29
6/26/2015,531.69,438.1,72.34,31.69,5.19
6/29/2015,521.52,429.86,70,31.13,5.03
6/30/2015,520.51,434.09,69.63,31.36,5.03
7/1/2015,521.84,437.39,70.54,31.65,5.1
7/2/2015,523.4,437.71,70.42,31.61,5.11
7/6/2015,522.86,436.04,69.16,31.5,5.04
7/7/2015,525.02,436.72,70.26,31.42,4.95
7/8/2015,516.83,429.7,69.39,30.64,4.91
7/9/2015,520.68,434.39,69.96,30.02,4.85
7/10/2015,530.13,443.51,71.14,30.82,4.94
7/13/2015,546.55,455.57,71.05,31.42,4.97
7/14/2015,561.1,465.57,71.79,31.4,4.97
7/15/2015,560.22,461.19,71.36,31.71,4.94
7/16/2015,579.85,475.48,72.42,32.13,5.05
7/17/2015,672.93,483.01,72.81,32.41,5.02
7/20/2015,663.02,488.1,72.77,33.02,4.93
7/21/2015,662.3,488,73.83,32.69,4.95
7/22/2015,662.1,488.27,73.87,31.31,4.85
7/23/2015,644.28,482.18,72.21,31.29,4.91
7/24/2015,623.56,529.42,73.92,31.13,4.86
7/27/2015,627.26,531.41,72.46,30.69,4.83
7/28/2015,628,526.03,73.79,30.85,4.93
7/29/2015,631.93,529,73.88,30.75,4.99
7/30/2015,632.59,536.76,73.36,30.59,5.01
7/31/2015,625.61,536.15,73.3,30.33,4.99
8/3/2015,631.21,535.03,72.44,29.61,5.07
8/4/2015,629.25,531.9,71.89,28.66,5.09
8/5/2015,643.78,537.01,72.53,28.85,5.15
8/6/2015,642.68,529.46,70.43,28.78,5.11
8/7/2015,635.3,522.62,70.41,28.88,5.75
8/10/2015,633.73,524,71.27,29.93,5.95
8/11/2015,660.78,527.46,71.63,28.37,5.92
8/12/2015,659.56,525.91,71.04,28.81,5.93
8/13/2015,656.45,529.66,71.4,28.79,5.88
8/14/2015,657.12,531.52,72.99,28.99,5.89
8/17/2015,660.87,535.22,74.04,29.29,5.85
8/18/2015,656.13,535.02,72.58,29.13,5.77
8/19/2015,660.9,532.92,72.04,28.75,5.75
8/20/2015,646.83,515.78,67.82,28.16,5.54
8/21/2015,612.48,494.47,69.15,26.44,5.37
8/24/2015,589.61,463.37,65.17,25.78,5.18
8/25/2015,582.06,466.37,65.18,25.94,5.07
8/26/2015,628.62,500.77,68.52,27.42,5.45
8/27/2015,637.61,518.37,69.94,28.23,5.66
8/28/2015,630.38,518.01,70.25,28.32,5.68
8/31/2015,618.25,512.89,69.36,28.19,5.62
9/1/2015,597.79,496.54,66.63,26.93,5.39
9/2/2015,614.34,510.55,67.98,28.09,5.55
9/3/2015,606.25,504.72,68.25,27.59,5.57
9/4/2015,600.7,499,67.13,27.32,5.44
9/8/2015,614.66,517.54,70.76,28.08,5.67
9/9/2015,612.72,516.89,69.03,27.54,5.56
9/10/2015,621.35,522.24,69.74,28.14,5.65
9/11/2015,625.77,529.44,70.05,28.55,5.66
9/14/2015,623.24,521.38,69.89,28.83,5.67
9/15/2015,635.14,522.37,71.27,29.07,5.74
9/16/2015,635.98,527.39,71.88,29.1,5.78
9/17/2015,642.9,538.87,72.32,28.48,5.83
9/18/2015,629.25,540.26,71.4,28.36,5.82
9/21/2015,635.44,548.39,72.14,28.8,5.88
9/22/2015,622.69,538.4,71.65,28.35,5.72
9/23/2015,622.36,536.07,71.99,28.58,5.75
9/24/2015,625.8,533.75,71.71,28.75,5.86
9/25/2015,611.97,524.25,72.44,28.68,5.9
9/28/2015,594.89,504.06,69.04,28.11,5.83
9/29/2015,594.97,496.07,68.38,27.27,5.93
9/30/2015,608.42,511.89,69.43,27.58,6.16
10/1/2015,611.29,520.72,72.91,27.4,6.04
10/2/2015,626.91,532.54,73.93,27.6,6.2
10/5/2015,641.47,543.68,75.27,27.7,6.36
10/6/2015,645.44,537.48,74.42,27.83,6.44
10/7/2015,642.36,541.94,75,27.7,6.51
10/8/2015,639.16,533.16,75.09,27.38,6.54
10/9/2015,643.61,539.8,75.25,28.03,6.52
10/12/2015,646.67,550.19,75.88,27.9,6.59
10/13/2015,652.3,548.9,76.63,27.95,6.6
10/14/2015,651.16,544.83,75.58,27.55,6.84
10/15/2015,661.74,562.44,77.7,27.97,6.86
10/16/2015,662.2,570.76,78.77,27.76,6.97
10/19/2015,666.1,573.15,77.93,27.93,6.95
10/20/2015,650.28,560.88,77.53,28.44,6.94
10/21/2015,642.61,555.77,75.83,28.44,6.85
10/22/2015,651.79,563.91,77.37,28.88,7.1
10/23/2015,702,599.03,78.56,29.77,7.15
10/26/2015,712.78,608.61,78.22,28.82,7.12
10/27/2015,708.49,611.01,77.75,28.64,7.11
10/28/2015,712.95,617.1,78.53,29.82,7.17
10/29/2015,716.92,626.55,78.14,30.13,6.92
10/30/2015,710.81,625.9,77.71,29.88,7.09
11/2/2015,721.11,628.35,79.2,30.3,7.18
11/3/2015,722.16,625.31,78.63,30.64,7.13
11/4/2015,728.11,640.95,78.39,30.5,7.01
11/5/2015,731.25,655.65,78.71,30.23,6.93
11/6/2015,733.76,659.37,79.41,30.27,7.89
11/9/2015,724.89,655.49,78.22,30.14,7.85
11/10/2015,728.32,659.68,78.25,29.19,7.7
11/11/2015,735.4,673.25,78.71,29.03,7.63
11/12/2015,731.23,665.6,78.3,28.93,7.6
11/13/2015,717,642.35,75.6,28.09,7.45
11/16/2015,728.96,647.81,76.26,28.54,7.6
11/17/2015,725.3,643.3,77.24,28.42,7.6
